id,name,format,date,player_count,url
cd3381eb-d8ef-4103-9dcf-53fcf5dbd44a,Core,core,2026-02-25,null,https://inkdecks.com/lorcana-tournaments/core
9eadb6bd-4e91-4030-9bfe-9cb14adcb015,Axion Sunday Core Cup,core,2026-02-25,null,https://inkdecks.com/lorcana-tournaments/axion-sunday-core-cup-tournament-decks-363222
a5602585-d7af-4163-b505-4b189cb11bf0,Core Constructed Side Event @ DLC Melbourne,core,2026-02-25,null,https://inkdecks.com/lorcana-tournaments/core-constructed-side-event-dlc-melbourne-tournament-decks-363207
acfbc7f9-50e0-4bf0-bc8a-e2ee55a4d3a3,Axion Sunday Core Cup,core,2026-02-23,null,https://inkdecks.com/lorcana-tournaments/axion-sunday-core-cup-tournament-decks-363208
363187,desafio guayacan whispers in the well,core,2026-02-15,null,https://inkdecks.com/lorcana-tournaments/desafio-guayacan-whispers-in-the-well-tournament-decks-363187
363180,set championship fabled na dream up tcg,core,null,null,https://inkdecks.com/lorcana-tournaments/set-championship-fabled-na-dream-up-tcg-tournament-decks-363180
363176,whispers in the well set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-championship-tournament-decks-363176
363175,iconic 1k whispers in the well,core,null,null,https://inkdecks.com/lorcana-tournaments/iconic-1k-whispers-in-the-well-tournament-decks-363175
363138,lorefest winter battle,core,null,null,https://inkdecks.com/lorcana-tournaments/lorefest-winter-battle-tournament-decks-363138
363051,road to lorcana 12 saison 10,core,null,null,https://inkdecks.com/lorcana-tournaments/road-to-lorcana-12-saison-10-tournament-decks-363051
363139,lueurs dans les profondeurs championnat de set,core,null,null,https://inkdecks.com/lorcana-tournaments/lueurs-dans-les-profondeurs-championnat-de-set-tournament-decks-363139
363133,whispers in the well set champs,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-champs-tournament-decks-363133
363128,whispers in the well set champs,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-champs-tournament-decks-363128
363122,frostbite gauntlet,core,null,null,https://inkdecks.com/lorcana-tournaments/frostbite-gauntlet-tournament-decks-363122
363123,kafee dragon set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/kafee-dragon-set-championship-tournament-decks-363123
363118,whispers in the well set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-championship-tournament-decks-363118
363148,disney lorcana challenge dlc hong kong 2026,core,null,null,https://inkdecks.com/lorcana-tournaments/disney-lorcana-challenge-dlc-hong-kong-2026-tournament-decks-363148
363154,le joker championnat de set 10 lorcana,core,null,null,https://inkdecks.com/lorcana-tournaments/le-joker-championnat-de-set-10-lorcana-tournament-decks-363154
363147,lorcana ccq warsaw 2026,core,null,null,https://inkdecks.com/lorcana-tournaments/lorcana-ccq-warsaw-2026-tournament-decks-363147
363146,train ink win a box montpellier,core,null,null,https://inkdecks.com/lorcana-tournaments/train-ink-win-a-box-montpellier-tournament-decks-363146
363145,cardboardia whispers in the well set champs,core,null,null,https://inkdecks.com/lorcana-tournaments/cardboardia-whispers-in-the-well-set-champs-tournament-decks-363145
363144,r de jeux championnat de set lueurs dans les profondeurs,core,null,null,https://inkdecks.com/lorcana-tournaments/r-de-jeux-championnat-de-set-lueurs-dans-les-profondeurs-tournament-decks-363144
363050,road to lorcana 11 saison 10,core,null,null,https://inkdecks.com/lorcana-tournaments/road-to-lorcana-11-saison-10-tournament-decks-363050
363153,whispers in the well set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-championship-tournament-decks-363153
363143,championnat de set lueurs dans les profondeurs,core,null,null,https://inkdecks.com/lorcana-tournaments/championnat-de-set-lueurs-dans-les-profondeurs-tournament-decks-363143
363142,set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/set-championship-tournament-decks-363142
363121,whispers in the well set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-championship-tournament-decks-363121
363120,coulee cards gaming whispers set champs,core,null,null,https://inkdecks.com/lorcana-tournaments/coulee-cards-gaming-whispers-set-champs-tournament-decks-363120
363119,drummond set championship split a case,core,null,null,https://inkdecks.com/lorcana-tournaments/drummond-set-championship-split-a-case-tournament-decks-363119
363114,top dog gaming whispers in the well set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/top-dog-gaming-whispers-in-the-well-set-championship-tournament-decks-363114
