id,name,format,date,player_count,url,champion_deck_url,champion_archetype,champion_inks,champion_placement
cd3381eb-d8ef-4103-9dcf-53fcf5dbd44a,Core,core,2026-02-25,null,https://inkdecks.com/lorcana-tournaments/core,null,null,null,null
9eadb6bd-4e91-4030-9bfe-9cb14adcb015,Axion Sunday Core Cup,core,2026-02-25,null,https://inkdecks.com/lorcana-tournaments/axion-sunday-core-cup-tournament-decks-363222,https://inkdecks.com/lorcana-metagame/deck-sent-to-the-doghouse-501233,null,"[""Title"",""Secondary""]",1
a5602585-d7af-4163-b505-4b189cb11bf0,Core Constructed Side Event @ DLC Melbourne,core,2026-02-25,null,https://inkdecks.com/lorcana-tournaments/core-constructed-side-event-dlc-melbourne-tournament-decks-363207,https://inkdecks.com/lorcana-metagame/deck-1-new-set-11-card-501175,Evasive,"[""Title"",""Secondary""]",1
acfbc7f9-50e0-4bf0-bc8a-e2ee55a4d3a3,Axion Sunday Core Cup,core,2026-02-23,null,https://inkdecks.com/lorcana-tournaments/axion-sunday-core-cup-tournament-decks-363208,https://inkdecks.com/lorcana-metagame/deck-sent-to-the-doghouse-500738,Aggro,"[""Amber"",""Emerald""]",1
363187,desafio guayacan whispers in the well,core,2026-02-15,null,https://inkdecks.com/lorcana-tournaments/desafio-guayacan-whispers-in-the-well-tournament-decks-363187,https://inkdecks.com/lorcana-metagame/deck-exotico-499956,Unknown,"[""Steel"",""Amethyst""]",null
363180,set championship fabled na dream up tcg,core,null,null,https://inkdecks.com/lorcana-tournaments/set-championship-fabled-na-dream-up-tcg-tournament-decks-363180,https://inkdecks.com/lorcana-metagame/deck-dectetives-control-499639,Unknown,"[""Sapphire"",""Emerald""]",null
363176,whispers in the well set championship,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-championship-tournament-decks-363176,https://inkdecks.com/lorcana-metagame/deck-amethyst-steel-midrange-499611,Unknown,"[""Steel"",""Amethyst""]",null
363175,iconic 1k whispers in the well,core,null,null,https://inkdecks.com/lorcana-tournaments/iconic-1k-whispers-in-the-well-tournament-decks-363175,https://inkdecks.com/lorcana-metagame/deck-cromadogs-499605,Unknown,"[""Emerald"",""Amber""]",null
363138,lorefest winter battle,core,null,null,https://inkdecks.com/lorcana-tournaments/lorefest-winter-battle-tournament-decks-363138,https://inkdecks.com/lorcana-metagame/deck-rs-set-11-499378,Unknown,"[""Sapphire"",""Ruby""]",null
363051,road to lorcana 12 saison 10,core,null,null,https://inkdecks.com/lorcana-tournaments/road-to-lorcana-12-saison-10-tournament-decks-363051,https://inkdecks.com/lorcana-metagame/deck-s10-bleu-jaune-ctrl-499488,Unknown,"[""Sapphire"",""Amber""]",null
363139,lueurs dans les profondeurs championnat de set,core,null,null,https://inkdecks.com/lorcana-tournaments/lueurs-dans-les-profondeurs-championnat-de-set-tournament-decks-363139,https://inkdecks.com/lorcana-metagame/deck-detectives-acier-saphyr-499029,Unknown,"[""Sapphire"",""Steel""]",null
363133,whispers in the well set champs,core,null,null,https://inkdecks.com/lorcana-tournaments/whispers-in-the-well-set-champs-tournament-decks-363133,https://inkdecks.com/lorcana-metagame/deck-baymax-blurple-498961,Unknown,"[""Sapphire"",""Amethyst""]",null
